Bars,Carrot,33,1.77,58.41
Crackers,Whole Wheat,87,3.49,303.63
Cookies,Chocolate Chip,58,1.87,108.46
Cookies,Chocolate Chip,82,1.87,153.34
Cookies,Arrowroot,38,2.18,82.84
Bars,Carrot,54,1.77,95.58
Crackers,Whole Wheat,149,3.49,520.01
Bars,Carrot,51,1.77,90.27
Bars,Carrot,100,1.77,177
Snacks,Potato Chips,28,1.35,37.8
Cookies,Arrowroot,36,2.18,78.48
Cookies,Chocolate Chip,31,1.87,57.97
Crackers,Whole Wheat,28,3.49,97.72
Bars,Carrot,44,1.77,77.88
Bars,Carrot,23,1.77,40.71
Snacks,Potato Chips,27,1.35,36.45
Cookies,Arrowroot,43,2.18,93.74
Cookies,Oatmeal Raisin,123,2.84,349.32
Bars,Bran,42,1.87,78.54
Cookies,Oatmeal Raisin,33,2.84,93.72
Cookies,Chocolate Chip,85,1.87,158.95
Cookies,Oatmeal Raisin,30,2.84,85.2
Bars,Carrot,61,1.77,107.97
Crackers,Whole Wheat,40,3.49,139.6
Cookies,Chocolate Chip,86,1.87,160.82
Bars,Carrot,38,1.77,67.26
Snacks,Potato Chips,68,1.68,114.24
Cookies,Chocolate Chip,39,1.87,72.93
Bars,Bran,103,1.87,192.61
Cookies,Oatmeal Raisin,193,2.84,548.12
Bars,Carrot,58,1.77,102.66
Snacks,Potato Chips,68,1.68,114.24
Bars,Carrot,91,1.77,161.07
Crackers,Whole Wheat,23,3.49,80.27
Snacks,Potato Chips,28,1.68,47.04
Bars,Carrot,48,1.77,84.96
Snacks,Potato Chips,134,1.68,225.12
Bars,Carrot,20,1.77,35.4
Bars,Carrot,53,1.77,93.81
Snacks,Potato Chips,64,1.68,107.52
Cookies,Chocolate Chip,63,1.87,117.81
Bars,Bran,105,1.87,196.35
Cookies,Oatmeal Raisin,138,2.84,391.92
Bars,Carrot,25,1.77,44.25
Crackers,Whole Wheat,21,3.49,73.29
Bars,Carrot,61,1.77,107.97
Snacks,Potato Chips,49,1.68,82.32
Cookies,Chocolate Chip,55,1.87,102.85
Cookies,Arrowroot,27,2.18,58.86
Bars,Carrot,58,1.77,102.66
Crackers,Whole Wheat,33,3.49,115.17
Cookies,Oatmeal Raisin,288,2.84,817.92
Cookies,Chocolate Chip,76,1.87,142.12
Bars,Carrot,42,1.77,74.34
Crackers,Whole Wheat,20,3.49,69.8
Bars,Carrot,75,1.77,132.75
Crackers,Whole Wheat,38,3.49,132.62
Bars,Carrot,306,1.77,541.62
Snacks,Potato Chips,28,1.68,47.04
Bars,Bran,110,1.87,205.7
Cookies,Oatmeal Raisin,51,2.84,144.84
Bars,Carrot,52,1.77,92.04
Crackers,Whole Wheat,28,3.49,97.72
Bars,Carrot,136,1.77,240.72
Crackers,Whole Wheat,42,3.49,146.58
Cookies,Chocolate Chip,75,1.87,140.25
Bars,Bran,72,1.87,134.64
Cookies,Oatmeal Raisin,56,2.84,159.04
Bars,Bran,51,1.87,95.37
Snacks,Potato Chips,31,1.68,52.08
Bars,Bran,56,1.87,104.72
Cookies,Oatmeal Raisin,137,2.84,389.08
Cookies,Chocolate Chip,107,1.87,200.09
Bars,Carrot,24,1.77,42.48
Crackers,Whole Wheat,30,3.49,104.7
Cookies,Chocolate Chip,70,1.87,130.9
Cookies,Arrowroot,31,2.18,67.58
Bars,Carrot,109,1.77,192.93
Crackers,Whole Wheat,21,3.49,73.29
Cookies,Chocolate Chip,80,1.87,149.6
Bars,Bran,75,1.87,140.25
Cookies,Oatmeal Raisin,74,2.84,210.16
Bars,Carrot,45,1.77,79.65
Cookies,Arrowroot,28,2.18,61.04
Bars,Carrot,143,1.77,253.11
Snacks,Pretzels,27,3.15,85.05
Bars,Carrot,133,1.77,235.41
Cookies,Arrowroot,110,2.18,239.8
Cookies,Chocolate Chip,65,1.87,121.55
